time ax ay az wx wy wz hm
481295771 -00.328458 -00.061699 -09.673765 -0.001449 +0.011229 +0.008111 +13.65
481295776 -00.062142 -00.059727 -09.847622 +0.004298 +0.011718 +0.008917 +04.04
481295781 +00.049133 +00.197701 -09.800757 -0.000941 +0.011922 +0.005285 +10.07
481295786 -00.114506 +00.208125 -09.954433 -0.000813 +0.003552 +0.006215 +08.53
481295791 -00.081215 +00.045388 -09.875116 +0.001004 +0.002066 -0.000382 +08.53
481295796 -00.154523 -00.023183 -09.671801 +0.002576 -0.003571 +0.000714 +11.54
481295801 -00.154523 -00.023183 -09.671801 +0.002576 -0.003571 +0.000714 +06.28
481295806 -00.265389 -00.013415 -09.729790 +0.003219 -0.001643 +0.000877 +02.91
481295811 -00.230816 -00.002195 -09.929357 +0.003985 +0.003736 +0.005917 +01.80
481295816 +00.001177 +00.122251 -09.921112 +0.001614 +0.011607 +0.005450 +03.74
481295821 -00.080976 +00.198082 -09.882833 -0.005426 +0.008850 +0.005422 +03.74
481295826 -00.028179 +00.121385 -09.821377 -0.002402 -0.001713 +0.003686 +08.67
481295831 -00.028179 +00.121385 -09.821377 -0.003518 +0.004203 +0.005106 +05.40
481295836 -00.154339 +00.048548 -09.694761 -0.003518 +0.004203 +0.005106 +02.80
481295841 -00.246211 +00.052896 -09.666935 +0.002084 -0.002156 +0.002444 +00.52
481295846 -00.280113 -00.109061 -09.702477 +0.005426 +0.005663 +0.006239 +03.67
481295851 -00.029053 -00.080230 -09.661864 +0.010219 +0.011435 +0.007994 +03.67
481295856 -00.052129 +00.231143 -09.834573 +0.003988 +0.006938 +0.006551 +12.38
481295861 -00.052129 +00.231143 -09.834573 -0.001815 +0.002192 +0.010295 +07.21
481295866 -00.148077 +00.294171 -09.987040 -0.000819 +0.006738 +0.007791 +03.56
481295871 -00.056744 +00.112707 -09.936013 -0.003981 +0.004231 +0.003376 +07.15
481295876 -00.081743 -00.003303 -09.751887 -0.005416 +0.002154 +0.002425 +05.54
481295881 -00.284649 -00.075149 -09.768782 +0.000599 -0.004964 +0.006520 +05.54
481295886 -00.192613 -00.050613 -09.829598 +0.000599 -0.004964 +0.006520 +09.74
481295891 -00.192613 -00.050613 -09.829598 +0.002137 -0.001709 +0.013760 +07.98
481295896 +00.025052 +00.102687 -09.854470 +0.001375 +0.004589 +0.011724 +09.84
481295901 -00.042274 +00.283894 -09.867197 +0.003142 +0.006211 +0.011262 -00.29
481295906 -00.047546 +00.125999 -09.807205 -0.004014 +0.000814 +0.005885 +06.75
481295911 -00.149591 -00.013443 -09.695453 -0.005060 +0.002860 -0.001187 +06.75
